file,kind,direction,experiment_id,contact_id,readable,error,n_samples,nan_frac,duration_s,fs_est_hz,monotonic_time,n_dup_timestamps,dt_offgrid_frac,value_rms,value_min,value_max,spike_frac_z6,max_const_run
A77_p3.txt,segment,A,77,3.0,True,,132817,0.0,2.656320000000001,50000.000001892884,True,0,0.0,27.898976326217316,-350.399323,292.963898,0.0006625657860063095,2
A77_p4.txt,segment,A,77,4.0,True,,51124,0.0,1.0224599999999953,50000.000001892884,True,0,0.0,11.337172697243306,-297.670166,256.466461,0.003931617244347077,3
R66_p1.txt,segment,R,66,1.0,True,,164535,0.0,3.2906799999999983,50000.000001892884,True,0,0.0,25.85961438428745,-121.381409,166.602875,6.077734220682529e-06,3
R66_p2.txt,segment,R,66,2.0,True,,160068,0.0,3.2013399999999947,50000.000001892884,True,0,0.0,23.133153440512118,-271.472565,227.137802,8.121548341954669e-05,3
R66_p3.txt,segment,R,66,3.0,True,,138477,0.0,2.76952,50000.000001892884,True,0,0.0,24.115782587926333,-98.686798,111.651726,0.0,3
R66_p4.txt,segment,R,66,4.0,True,,126831,0.0,2.5366,50000.000001892884,True,0,0.0,22.528309391331753,-101.298958,107.218246,0.0,3
R66_p5.txt,segment,R,66,5.0,True,,109054,0.0,2.181060000000002,50000.000001892884,True,0,0.0,20.323104095772912,-100.00486,108.871819,0.0,2
R66_p6.txt,segment,R,66,6.0,True,,87757,0.0,1.7551200000000051,49999.99998412932,True,0,0.0,20.951038342349754,-98.97438,112.562386,0.0,2
R67_p1.txt,segment,R,67,1.0,True,,164821,0.0,3.2963999999999984,50000.000001892884,True,0,0.0,26.066408298693343,-139.402893,167.537506,6.067188040358935e-06,3
R67_p2.txt,segment,R,67,2.0,True,,145642,0.0,2.9128199999999964,50000.000001892884,True,0,0.0,22.07520550041169,-138.683945,97.344772,6.866151247579682e-06,2
R67_p3.txt,segment,R,67,3.0,True,,311286,0.0,6.225700000000003,50000.000001892884,True,0,0.0,12.525816850527784,-107.338074,105.684502,0.00027948574622694243,3
R67_p4.txt,segment,R,67,4.0,True,,111650,0.0,2.2329799999999977,49999.99998412932,True,0,0.0,19.469191754769984,-116.82811,101.63446,8.956560680698611e-06,3
