experiment_id,contact_id,channel,original_n_samples,active_window_n_samples,retained_fraction,original_duration_s,active_duration_s,rms_full,rms_active,energy_full,energy_active,waveform_length_full,waveform_length_active,dominant_frequency_full,dominant_frequency_active,notes
67,4,rotational,111650,101765,0.9115,2.233,2.0353,19.4692,20.3534,42320868.56575496,42157339.17763284,1167570.15,1141816.32,2099.87,2099.94,
67,5,rotational,117611,98317,0.836,2.3522,1.9663,18.4235,20.0029,39920094.043733634,39338114.134415016,1188920.8,1117826.37,1998.54,1998.64,
67,6,rotational,109633,94325,0.8604,2.1927,1.8865,17.0723,18.2884,31954105.96406091,31548507.58426051,1082838.5,1028909.52,2076.02,2076.33,
68,1,rotational,172885,152110,0.8798,3.4577,3.0422,28.2906,30.1121,138370182.42364484,137924169.0424289,2865563.36,2799767.13,4998.41,4998.36,
68,2,rotational,150755,134848,0.8945,3.0151,2.697,23.6512,24.8951,84329526.6150278,83574132.19895259,2158784.57,2075235.41,2073.89,2073.82,
68,3,rotational,128958,117630,0.9122,2.5792,2.3526,22.1657,23.1149,63359296.25026124,62849394.46486656,1798727.27,1744447.35,1888.6,1888.55,low_contrast
68,4,rotational,114279,102004,0.8926,2.2856,2.0401,22.591,23.852,58322862.86437789,58031858.662541404,1597336.5,1554541.85,2125.94,2125.9,
68,5,rotational,97121,86351,0.8891,1.9424,1.727,23.1242,24.3045,51933602.32889633,51008177.40187517,1367992.43,1304332.01,2152.47,2152.26,
68,6,rotational,186752,99552,0.5331,3.735,1.991,16.8796,22.5902,53209607.1095564,50802894.72289156,1621456.06,1315731.71,2115.64,2115.98,
69,1,rotational,162822,146874,0.9021,3.2564,2.9375,31.1445,32.7548,157934463.80972335,157577632.9055252,2802859.26,2762525.06,5254.82,5254.84,
69,2,rotational,146843,133420,0.9086,2.9369,2.6684,25.9141,27.1411,98611251.38207962,98282420.21777883,2421451.48,2371939.65,2131.87,2150.73,
69,3,rotational,128165,116355,0.9079,2.5633,2.3271,25.2247,26.4,81549310.63003056,81094858.04002428,2071037.58,2018578.72,2107.44,2085.43,
69,4,rotational,116908,103187,0.8826,2.3382,2.0637,24.2896,25.7609,68974209.28997271,68477223.66680855,1829834.36,1763619.62,1843.76,1843.74,
69,5,rotational,93774,85736,0.9143,1.8755,1.7147,25.6551,26.7634,61720514.31736148,61410849.05050492,1556486.52,1516793.22,2214.37,2214.36,
69,6,rotational,77291,68572,0.8872,1.5458,1.3714,27.4194,28.9721,58109126.72960321,57558175.31759977,1350299.31,1294675.95,2230.53,2230.5,
70,1,rotational,158534,148205,0.9348,3.1707,2.9641,24.7655,25.5788,97233276.4338832,96966745.78563182,2127651.64,2098284.63,4828.3,4794.71,low_contrast
70,2,rotational,143526,132011,0.9198,2.8705,2.6402,22.906,23.8107,75306062.8371013,74843255.26282972,1706190.83,1663345.49,1900.0,1899.84,low_contrast
70,3,rotational,127283,116316,0.9138,2.5457,2.3263,22.6794,23.6531,65468459.03349214,65075307.10841075,1420123.46,1383353.8,1887.53,1887.53,low_contrast
70,4,rotational,109090,101025,0.9261,2.1818,2.0205,23.7808,24.6763,61693217.664641306,61516345.02626522,1343847.57,1318856.44,1947.02,1947.04,low_contrast
70,5,rotational,91578,84678,0.9247,1.8316,1.6936,21.3068,22.1084,41574566.21630493,41388973.91192603,1002156.5,978599.02,2213.41,2213.68,low_contrast
70,6,rotational,72537,68192,0.9401,1.4507,1.3638,24.3461,25.0645,42994986.705829464,42840213.555901974,883741.4,866134.56,1338.63,2191.61,
