model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
Lasso,FUSION,A,CT,random,loeo,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,40.30153023290798,60.64732940551491,-0.021214642021116115,28.60053532557929,36,9,27,10,10,
ElasticNet,FUSION,A,CT,random,loeo,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,26.991141300003186,36.76031101555438,0.6248093350731772,16.866443290003946,36,9,27,10,10,
SVR,FUSION,A,CT,random,loeo,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,52.54695823296745,64.82095584557366,-0.16660687530959395,34.229845065738154,36,9,27,10,10,
RandomForest,FUSION,A,CT,random,loeo,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,55.95900000000002,67.86554390852548,-0.27876970255629985,37.28834320077332,36,9,27,10,10,
XGBoost,FUSION,A,CT,random,loeo,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,47.31268310546875,60.46002168850977,-0.014916392742038376,28.46238736275626,36,9,27,10,10,
MLP,FUSION,A,CT,none,loeo,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,235.74568801936502,675.9909973355792,-125.87483611270015,89.12038742713409,36,9,27,10,10,
BNN,FUSION,A,CT,none,loeo,grouped_scaling,FUSION_A_CT_random_grouped_scaling,189,41.81128845214844,52.73721348890942,0.22780314614117003,25.34374629288681,36,9,27,10,10,
DummyRegressor,FUSION,A,CT,none,loeo,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,CT,grid,loeo,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,56.535961236996286,127.20985026559374,-3.4929869046460915,26.484629622776446,36,9,27,10,10,
Lasso,FUSION,A,CT,grid,loeo,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,40.30153023290798,60.64732940551491,-0.021214642021116115,28.60053532557929,36,9,27,10,10,
ElasticNet,FUSION,A,CT,grid,loeo,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,26.991141300003186,36.76031101555438,0.6248093350731772,16.866443290003946,36,9,27,10,10,
SVR,FUSION,A,CT,grid,loeo,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,52.593101263612155,64.8618784988937,-0.1680803407303928,34.25551177350704,36,9,27,10,10,
RandomForest,FUSION,A,CT,grid,loeo,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,52.184000000000005,65.4544311716174,-0.1895200752979851,34.47923817390915,36,9,27,10,10,
XGBoost,FUSION,A,CT,grid,loeo,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,49.0050048828125,59.45693916964172,0.0184808755271898,31.00143705313132,36,9,27,10,10,
MLP,FUSION,A,CT,none,loeo,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,235.74568801936502,675.9909973355792,-125.87483611270015,89.12038742713409,36,9,27,10,10,
BNN,FUSION,A,CT,none,loeo,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,189,41.81128845214844,52.73721348890942,0.22780314614117003,25.34374629288681,36,9,27,10,10,
DummyRegressor,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,95,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,95,27.95604802287213,37.71209175706911,0.6051292963321107,19.098559784377166,9,9,0,10,10,
Lasso,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,95,26.99001704788148,38.033363569166895,0.5983727793384686,17.943517930115995,9,9,0,10,10,
ElasticNet,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,95,19.0676065719693,26.547358239846673,0.8043245727659085,14.830258023774057,9,9,0,10,10,
SVR,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,95,63.36129702448578,72.61895191380908,-0.4641771438019693,41.14733842497806,9,9,0,10,10,
RandomForest,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,95,51.324338095238076,60.07660057263347,-0.0020845592940379465,35.27847278162118,9,9,0,10,10,
XGBoost,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,95,57.697462463378905,68.70873923139683,-0.3107432474111018,37.798997757326504,9,9,0,10,10,
MLP,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,95,249.23440059366698,407.77972954741705,-45.16841200374396,154.89151846778228,9,9,0,10,10,
BNN,SOLO_A,N,ST,none,loeo,none,SOLO_A_N_ST,95,48.481640625,53.76931178175647,0.19728269521148822,32.12443750686531,9,9,0,10,10,
DummyRegressor,SOLO_A,N,CT,none,loeo,none,SOLO_A_N_CT_random,95,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,SOLO_A,N,CT,random,loeo,none,SOLO_A_N_CT_random,95,27.95604802287213,37.71209175706911,0.6051292963321107,19.098559784377166,9,9,0,10,10,
Lasso,SOLO_A,N,CT,random,loeo,none,SOLO_A_N_CT_random,95,25.971889932371358,36.046754060826316,0.6392336713260447,16.901083309983843,9,9,0,10,10,
ElasticNet,SOLO_A,N,CT,random,loeo,none,SOLO_A_N_CT_random,95,19.0676065719693,26.547358239846673,0.8043245727659085,14.830258023774057,9,9,0,10,10,
SVR,SOLO_A,N,CT,random,loeo,none,SOLO_A_N_CT_random,95,53.135983346543206,65.27321102760135,-0.1829424736314833,35.573729935966924,9,9,0,10,10,
RandomForest,SOLO_A,N,CT,random,loeo,none,SOLO_A_N_CT_random,95,52.63250833333333,60.661576793825546,-0.02169450983099419,35.84470060678061,9,9,0,10,10,
XGBoost,SOLO_A,N,CT,random,loeo,none,SOLO_A_N_CT_random,95,49.101446533203124,59.9294964600148,0.002816859321338905,31.062879502143424,9,9,0,10,10,
MLP,SOLO_A,N,CT,none,loeo,none,SOLO_A_N_CT_random,95,249.23440059366698,407.77972954741705,-45.16841200374396,154.89151846778228,9,9,0,10,10,
BNN,SOLO_A,N,CT,none,loeo,none,SOLO_A_N_CT_random,95,48.481640625,53.76931178175647,0.19728269521148822,32.12443750686531,9,9,0,10,10,
DummyRegressor,SOLO_A,N,CT,none,loeo,none,SOLO_A_N_CT_grid,95,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,SOLO_A,N,CT,grid,loeo,none,SOLO_A_N_CT_grid,95,27.95604802287213,37.71209175706911,0.6051292963321107,19.098559784377166,9,9,0,10,10,
Lasso,SOLO_A,N,CT,grid,loeo,none,SOLO_A_N_CT_grid,95,25.971889932371358,36.046754060826316,0.6392336713260447,16.901083309983843,9,9,0,10,10,
ElasticNet,SOLO_A,N,CT,grid,loeo,none,SOLO_A_N_CT_grid,95,19.0676065719693,26.547358239846673,0.8043245727659085,14.830258023774057,9,9,0,10,10,
SVR,SOLO_A,N,CT,grid,loeo,none,SOLO_A_N_CT_grid,95,53.433176177948056,65.46298581869246,-0.1898310271839967,35.835222842959915,9,9,0,10,10,
