model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
SVR,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,52.49259910894784,64.81770775443198,-0.16648996402770688,34.156845119765336,36,9,27,10,10,
RandomForest,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,55.53401051587302,67.87620987959161,-0.2791716854083415,36.73565153638641,36,9,27,10,10,
XGBoost,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,55.69418106079102,67.87574545829544,-0.2791541808204798,34.683443464049155,36,9,27,10,10,
MLP,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,235.7455084346097,598.3349829769296,-98.39910204765059,103.80419901672524,36,9,27,10,10,
BNN,FUSION,A,ST,none,loeo,feature_noise,FUSION_A_ST_feature_noise,189,46.503213500976564,59.57227040368363,0.014669391022103295,29.126400657643458,36,9,27,10,10,
DummyRegressor,FUSION,A,CT,none,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,FUSION,A,CT,random,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,40.87139713144638,61.272323923095264,-0.042371131034795395,26.875181458650367,36,9,27,10,10,
Lasso,FUSION,A,CT,random,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,37.92839478787824,49.40780725919908,0.3222261165835578,22.687803798367145,36,9,27,10,10,
ElasticNet,FUSION,A,CT,random,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,34.93638510127006,43.493665229228185,0.4747746432724158,25.181088792199922,36,9,27,10,10,
SVR,FUSION,A,CT,random,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,61.05547862170221,70.39890668919953,-0.376022384778985,40.39315438109793,36,9,27,10,10,
RandomForest,FUSION,A,CT,random,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,56.68570793928293,68.45191001869362,-0.30096259955946447,37.39068700579704,36,9,27,10,10,
XGBoost,FUSION,A,CT,random,loeo,feature_noise,FUSION_A_CT_random_feature_noise,189,42.55978164672852,55.402633426207416,0.14777457511370617,26.1142190399216,36,9,27,10,10,
